"","PA_CIDPRI","n","n_linhas","file"
"127","0000",3748707,4783067,"SIA_PA/PASP1708b.dbc"
"128","1111",555,4783067,"SIA_PA/PASP1708b.dbc"
"129","0000",726046,2380705,"SIA_PA/PASP1709a.dbc"
"130","1111",765,2380705,"SIA_PA/PASP1709a.dbc"
"131","0000",3303910,4291924,"SIA_PA/PASP1709b.dbc"
"132","1111",520,4291924,"SIA_PA/PASP1709b.dbc"
"133","0000",777002,2472761,"SIA_PA/PASP1710a.dbc"
"134","1111",748,2472761,"SIA_PA/PASP1710a.dbc"
"135","0000",3262415,4232291,"SIA_PA/PASP1710b.dbc"
"136","1111",543,4232291,"SIA_PA/PASP1710b.dbc"
"137","0000",755828,2345339,"SIA_PA/PASP1711a.dbc"
"138","1111",733,2345339,"SIA_PA/PASP1711a.dbc"
"139","0000",3155510,4104628,"SIA_PA/PASP1711b.dbc"
"140","1111",541,4104628,"SIA_PA/PASP1711b.dbc"
"141","0000",748409,2364547,"SIA_PA/PASP1712a.dbc"
"142","1111",686,2364547,"SIA_PA/PASP1712a.dbc"
"143","0000",3017368,3894033,"SIA_PA/PASP1712b.dbc"
"144","1111",383,3894033,"SIA_PA/PASP1712b.dbc"
"145","0000",741852,2359929,"SIA_PA/PASP1801a.dbc"
"146","1111",753,2359929,"SIA_PA/PASP1801a.dbc"
"147","0000",3149375,4054705,"SIA_PA/PASP1801b.dbc"
"148","1111",532,4054705,"SIA_PA/PASP1801b.dbc"
"149","0000",715307,2288463,"SIA_PA/PASP1802a.dbc"
"150","1111",724,2288463,"SIA_PA/PASP1802a.dbc"
"151","0000",3163090,4090045,"SIA_PA/PASP1802b.dbc"
"152","1111",439,4090045,"SIA_PA/PASP1802b.dbc"
"153","0000",771950,2445804,"SIA_PA/PASP1803a.dbc"
"154","1111",704,2445804,"SIA_PA/PASP1803a.dbc"
"155","0000",3520814,4592933,"SIA_PA/PASP1803b.dbc"
"156","1111",577,4592933,"SIA_PA/PASP1803b.dbc"
"157","0000",771860,2519006,"SIA_PA/PASP1804a.dbc"
"158","1111",753,2519006,"SIA_PA/PASP1804a.dbc"
"159","0000",3583999,4669985,"SIA_PA/PASP1804b.dbc"
"160","1111",408,4669985,"SIA_PA/PASP1804b.dbc"
"161","0000",769020,2610678,"SIA_PA/PASP1805a.dbc"
"162","1111",779,2610678,"SIA_PA/PASP1805a.dbc"
"163","0000",3581274,4708145,"SIA_PA/PASP1805b.dbc"
"164","1111",500,4708145,"SIA_PA/PASP1805b.dbc"
"165","0000",757942,2569298,"SIA_PA/PASP1806a.dbc"
"166","1111",765,2569298,"SIA_PA/PASP1806a.dbc"
"167","0000",3518059,4609839,"SIA_PA/PASP1806b.dbc"
"168","1111",410,4609839,"SIA_PA/PASP1806b.dbc"
"169","0000",790992,2622510,"SIA_PA/PASP1807a.dbc"
"170","1111",736,2622510,"SIA_PA/PASP1807a.dbc"
"171","0000",3474391,4530596,"SIA_PA/PASP1807b.dbc"
"172","1111",490,4530596,"SIA_PA/PASP1807b.dbc"
"173","0000",832946,2750894,"SIA_PA/PASP1808a.dbc"
"174","1111",736,2750894,"SIA_PA/PASP1808a.dbc"
"175","0000",3766989,4918819,"SIA_PA/PASP1808b.dbc"
"176","1111",458,4918819,"SIA_PA/PASP1808b.dbc"
"177","0000",923299,2656167,"SIA_PA/PASP1809a.dbc"
"178","1111",672,2656167,"SIA_PA/PASP1809a.dbc"
"179","0000",3572835,4707936,"SIA_PA/PASP1809b.dbc"
"180","1111",421,4707936,"SIA_PA/PASP1809b.dbc"
"181","0000",822735,2734330,"SIA_PA/PASP1810a.dbc"
"182","1111",676,2734330,"SIA_PA/PASP1810a.dbc"
"183","0000",3729375,4905617,"SIA_PA/PASP1810b.dbc"
"184","1111",425,4905617,"SIA_PA/PASP1810b.dbc"
"185","0000",789420,2646522,"SIA_PA/PASP1811a.dbc"
"186","1111",712,2646522,"SIA_PA/PASP1811a.dbc"
"187","0000",3505948,4629777,"SIA_PA/PASP1811b.dbc"
"188","1111",394,4629777,"SIA_PA/PASP1811b.dbc"
"189","0000",766277,2540378,"SIA_PA/PASP1812a.dbc"
"190","1111",687,2540378,"SIA_PA/PASP1812a.dbc"
"191","0000",3279944,4272770,"SIA_PA/PASP1812b.dbc"
"192","1111",432,4272770,"SIA_PA/PASP1812b.dbc"
"193","0000",777971,2487422,"SIA_PA/PASP1901a.dbc"
"194","1111",708,2487422,"SIA_PA/PASP1901a.dbc"
"195","0000",3510535,4555479,"SIA_PA/PASP1901b.dbc"
"196","1111",464,4555479,"SIA_PA/PASP1901b.dbc"
"197","0000",804862,2684938,"SIA_PA/PASP1902a.dbc"
"198","1111",805,2684938,"SIA_PA/PASP1902a.dbc"
"199","0000",3581240,4700204,"SIA_PA/PASP1902b.dbc"
"200","1111",442,4700204,"SIA_PA/PASP1902b.dbc"
"201","0000",771683,2564667,"SIA_PA/PASP1903a.dbc"
"202","1111",676,2564667,"SIA_PA/PASP1903a.dbc"
"203","0000",2762366,3679370,"SIA_PA/PASP1903b.dbc"
"204","1111",397,3679370,"SIA_PA/PASP1903b.dbc"
"205","0000",798637,1018072,"SIA_PA/PASP1903c.dbc"
"206","0000",835297,2755064,"SIA_PA/PASP1904a.dbc"
"207","1111",855,2755064,"SIA_PA/PASP1904a.dbc"
"208","0000",2909545,3923397,"SIA_PA/PASP1904b.dbc"
"209","1111",439,3923397,"SIA_PA/PASP1904b.dbc"
"210","0000",886994,1131973,"SIA_PA/PASP1904c.dbc"
"211","0000",826299,2854102,"SIA_PA/PASP1905a.dbc"
"212","1111",850,2854102,"SIA_PA/PASP1905a.dbc"
"213","0000",2991808,4077633,"SIA_PA/PASP1905b.dbc"
"214","1111",319,4077633,"SIA_PA/PASP1905b.dbc"
"215","0000",923721,1169309,"SIA_PA/PASP1905c.dbc"
"216","0000",804386,2764677,"SIA_PA/PASP1906a.dbc"
"217","1111",761,2764677,"SIA_PA/PASP1906a.dbc"
"218","0000",2813299,3812897,"SIA_PA/PASP1906b.dbc"
"219","1111",349,3812897,"SIA_PA/PASP1906b.dbc"
"220","0000",844733,1067687,"SIA_PA/PASP1906c.dbc"
"221","0000",815859,2759567,"SIA_PA/PASP1907a.dbc"
"222","1111",774,2759567,"SIA_PA/PASP1907a.dbc"
"223","0000",2796803,3749033,"SIA_PA/PASP1907b.dbc"
"224","1111",458,3749033,"SIA_PA/PASP1907b.dbc"
"225","0000",901183,1129881,"SIA_PA/PASP1907c.dbc"
"226","0000",822262,2865679,"SIA_PA/PASP1908a.dbc"
"227","1111",889,2865679,"SIA_PA/PASP1908a.dbc"
"228","0000",2965370,4009632,"SIA_PA/PASP1908b.dbc"
"229","1111",451,4009632,"SIA_PA/PASP1908b.dbc"
"230","0000",932628,1166503,"SIA_PA/PASP1908c.dbc"
"231","0000",821683,2864339,"SIA_PA/PASP1909a.dbc"
"232","1111",902,2864339,"SIA_PA/PASP1909a.dbc"
"233","0000",2964344,4032653,"SIA_PA/PASP1909b.dbc"
"234","1111",413,4032653,"SIA_PA/PASP1909b.dbc"
"235","W46",1,4032653,"SIA_PA/PASP1909b.dbc"
"236","0000",894597,1147231,"SIA_PA/PASP1909c.dbc"
"237","U04",1,1147231,"SIA_PA/PASP1909c.dbc"
"238","0000",885751,2954212,"SIA_PA/PASP1910a.dbc"
